Alias	BioSample	Experiment	INSDC_center_alias	INSDC_last_update	Library_Name	MBases	MBytes	Run	SRA_Sample	SRA_accession	Sample_Name	Title	replicate	Assay_Type	AvgSpotLen	BioProject	Broker_name	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_checklist	INSDC_center_name	INSDC_first_public	INSDC_status	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	cell_line	cell_type	organism	organism_part
E-MTAB-5984:Sample 8	SAMEA104216901	ERX2155113		2017-08-16T18:12:25Z	Sample 8_p	2249	1498	ERR2097744	ERS1875919	ERS1875919	SAMEA104216901 ERS1875919	Sample 8	3	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 8	SAMEA104216901	ERX2155113		2017-08-16T18:12:25Z	Sample 8_p	2162	1444	ERR2097745	ERS1875919	ERS1875919	SAMEA104216901 ERS1875919	Sample 8	3	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 9	SAMEA104216902	ERX2155114		2017-08-16T18:12:25Z	Sample 9_p	5021	3331	ERR2097746	ERS1875920	ERS1875920	SAMEA104216902 ERS1875920	Sample 9	3	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 9	SAMEA104216902	ERX2155114		2017-08-16T18:12:25Z	Sample 9_p	4921	3271	ERR2097747	ERS1875920	ERS1875920	SAMEA104216902 ERS1875920	Sample 9	3	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 10	SAMEA104216903	ERX2155115		2017-08-16T18:12:25Z	Sample 10_p	2267	1442	ERR2097748	ERS1875921	ERS1875921	SAMEA104216903 ERS1875921	Sample 10	4	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 10	SAMEA104216903	ERX2155115		2017-08-16T18:12:25Z	Sample 10_p	2186	1414	ERR2097749	ERS1875921	ERS1875921	SAMEA104216903 ERS1875921	Sample 10	4	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 11	SAMEA104216904	ERX2155116		2017-08-16T18:12:25Z	Sample 11_p	2700	1698	ERR2097750	ERS1875922	ERS1875922	SAMEA104216904 ERS1875922	Sample 11	4	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 11	SAMEA104216904	ERX2155116		2017-08-16T18:12:25Z	Sample 11_p	2720	1740	ERR2097751	ERS1875922	ERS1875922	SAMEA104216904 ERS1875922	Sample 11	4	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 12	SAMEA104216905	ERX2155117		2017-08-16T18:12:25Z	Sample 12_p	1470	984	ERR2097752	ERS1875923	ERS1875923	SAMEA104216905 ERS1875923	Sample 12	4	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 12	SAMEA104216905	ERX2155117		2017-08-16T18:12:25Z	Sample 12_p	1361	912	ERR2097753	ERS1875923	ERS1875923	SAMEA104216905 ERS1875923	Sample 12	4	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 13	SAMEA104216906	ERX2155118		2017-08-16T18:12:25Z	Sample 13_p	3375	2165	ERR2097754	ERS1875924	ERS1875924	SAMEA104216906 ERS1875924	Sample 13	5	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 13	SAMEA104216906	ERX2155118		2017-08-16T18:12:25Z	Sample 13_p	3355	2190	ERR2097755	ERS1875924	ERS1875924	SAMEA104216906 ERS1875924	Sample 13	5	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 14	SAMEA104216907	ERX2155119		2017-08-16T18:12:25Z	Sample 14_p	1717	1086	ERR2097756	ERS1875925	ERS1875925	SAMEA104216907 ERS1875925	Sample 14	5	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 14	SAMEA104216907	ERX2155119		2017-08-16T18:12:25Z	Sample 14_p	1464	942	ERR2097757	ERS1875925	ERS1875925	SAMEA104216907 ERS1875925	Sample 14	5	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 15	SAMEA104216908	ERX2155120		2017-08-16T18:12:25Z	Sample 15_p	4800	3141	ERR2097758	ERS1875926	ERS1875926	SAMEA104216908 ERS1875926	Sample 15	5	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 15	SAMEA104216908	ERX2155120		2017-08-16T18:12:25Z	Sample 15_p	4940	3235	ERR2097759	ERS1875926	ERS1875926	SAMEA104216908 ERS1875926	Sample 15	5	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 16	SAMEA104216909	ERX2155121		2017-08-16T18:12:25Z	Sample 16_p	2398	1537	ERR2097760	ERS1875927	ERS1875927	SAMEA104216909 ERS1875927	Sample 16	6	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 16	SAMEA104216909	ERX2155121		2017-08-16T18:12:25Z	Sample 16_p	2310	1506	ERR2097761	ERS1875927	ERS1875927	SAMEA104216909 ERS1875927	Sample 16	6	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 17	SAMEA104216910	ERX2155122		2017-08-16T18:12:25Z	Sample 17_p	4851	3280	ERR2097762	ERS1875928	ERS1875928	SAMEA104216910 ERS1875928	Sample 17	6	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 17	SAMEA104216910	ERX2155122		2017-08-16T18:12:25Z	Sample 17_p	4855	3288	ERR2097763	ERS1875928	ERS1875928	SAMEA104216910 ERS1875928	Sample 17	6	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 18	SAMEA104216911	ERX2155123		2017-08-16T18:12:25Z	Sample 18_p	2614	1740	ERR2097764	ERS1875929	ERS1875929	SAMEA104216911 ERS1875929	Sample 18	6	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 18	SAMEA104216911	ERX2155123		2017-08-16T18:12:25Z	Sample 18_p	2604	1735	ERR2097765	ERS1875929	ERS1875929	SAMEA104216911 ERS1875929	Sample 18	6	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 19	SAMEA104216912	ERX2155124	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:25Z	Sample 19_p	4840	3038	ERR2097766	ERS1875930	ERS1875930	SAMEA104216912 ERS1875930	Sample 19	7	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 19	SAMEA104216912	ERX2155124	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:25Z	Sample 19_p	5024	3211	ERR2097767	ERS1875930	ERS1875930	SAMEA104216912 ERS1875930	Sample 19	7	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 20	SAMEA104216913	ERX2155125	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:25Z	Sample 20_p	1643	1064	ERR2097768	ERS1875931	ERS1875931	SAMEA104216913 ERS1875931	Sample 20	7	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
